"Ano EmissÆo	Entrada/Sa¡da	Munic¡pio Destinat rio	CNAE (C)	Descri‡Æo do CNAE	CNAE (DivisÆo)	CNAE (Grupo)	CNAE (Classe)	NCM Produto	NCM (Cap¡tulo)	NCM (Posi‡Æo)	NCM (Subposi‡Æo)	CFOP	Descri‡Æo CFOP	CFOP (1)	CFOP (2)	Total Bruto Produtos	NCM (Cap¡tulo) Desc	NCM (Posi‡Æo) Desc	NCM (Subposi‡Æo) Desc"							
"2018	0 - entrada	ABAETETUBA	0111301	Cultivo de arroz	01	011	01113	30023060	30	3002	30023	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	585.0	Produtos farmacˆuticos.	""""""Sangue humano"	 sangue animal preparado para usos terapˆuticos, profil ticos ou de diagn¢stico	 antissoros, outras fra‡äes do sangue e produtos imunol¢gicos, mesmo modificados ou obtidos por via biotecnol¢gica	" vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes.""""""	"				
"2018	0 - entrada	ABAETETUBA	0112199	Cultivo de outras fibras de lavoura tempor ria nÆo especificadas anteriormente	01	011	01121	40131090	40	4013	40131	1949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificada	1	19	260.0	Borracha e suas obras.	Cƒmaras de ar de borracha.	"							
"2018	0 - entrada	ABAETETUBA	0131800	Cultivo de laranja	01	013	01318	40131090	40	4013	40131	1949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificada	1	19	260.0	Borracha e suas obras.	Cƒmaras de ar de borracha.	"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	03048990	03	0304	03048	1102	Compra para comercializa‡Æo	1	11	40729.5			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	07041000	07	0704	07041	1102	Compra para comercializa‡Æo	1	11	10.0			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	07049000	07	0704	07049	1102	Compra para comercializa‡Æo	1	11	18.0			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	07052900	07	0705	07052	1102	Compra para comercializa‡Æo	1	11	159.0			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	07070000	07	0707	07070	1102	Compra para comercializa‡Æo	1	11	114.16			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	07102900	07	0710	07102	1102	Compra para comercializa‡Æo	1	11	9224.68			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08011100	08	0801	08011	1102	Compra para comercializa‡Æo	1	11	1920.04			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08031000	08	0803	08031	1102	Compra para comercializa‡Æo	1	11	9114.82			"							
