Ano Emissão;Entrada/Saída;Município Destinatário;CNAE (C);Descrição do CNAE;CNAE (Divisão);CNAE (Grupo);CNAE (Classe);NCM Produto;NCM (Capítulo);NCM (Posição);NCM (Subposição);CFOP;Descrição CFOP;CFOP (1);CFOP (2);Total Bruto Produtos;NCM (Capítulo) Desc;NCM (Posição) Desc
2018;0 - entrada;ABAETETUBA;111301;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;112199;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;131800;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133401;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133402;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133405;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;133499;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;139305;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;139305;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151201;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151203;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;151203;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155501;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155501;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155501;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155501;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155504;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155504;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155504;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155504;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155504;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;155504;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;220901;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;220999;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;220999;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;220999;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;311601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;311601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;311601;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;322101;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;810006;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;810006;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;810006;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;810006;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;810006;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1031700;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1032501;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1033301;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
2018;0 - entrada;ABAETETUBA;1041400;;;;;;;;;;;;;;;
